message;severity;node;stamp;location
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259542.255689679";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259542.149465777";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259542.043221830";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.935732272";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.828039057";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.721077986";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.613206398";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.505791709";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.399450126";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.293453837";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.186977810";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259541.080321384";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.973759383";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.867655749";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.762107700";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.655699489";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.549125617";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.442208615";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.335567555";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.229417407";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.122482317";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259540.014572947";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.908547116";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.802460594";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.695203329";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.588602778";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.481968843";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.375197950";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259539.269106190";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
